stt, month ,make,importer_type,fuel_type,vehicle_type,number,,
154, 2016-01 ,HONDA,,Petrol,Multi-purpose Vehicle/Station-wagon,271,,
155, 2016-01 ,HONDA,,Others,Multi-purpose Vehicle/Station-wagon,1,,
156, 2016-01 ,HYUNDAI,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
157, 2016-01 ,HYUNDAI,,Diesel,Multi-purpose Vehicle/Station-wagon,0,,
158, 2016-01 ,INFINITI,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
159, 2016-01 ,JAGUAR,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
160, 2016-01 ,JAGUAR,,Diesel,Multi-purpose Vehicle/Station-wagon,0,,
161, 2016-01 ,JEEP,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
162, 2016-01 ,KIA,,Petrol,Multi-purpose Vehicle/Station-wagon,9,,
163, 2016-01 ,KIA,,Diesel,Multi-purpose Vehicle/Station-wagon,3,,
164, 2016-01 ,KOENIGSEGG,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
165, 2016-01 ,LAMBORGHINI,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
166, 2016-01 ,LAND ROVER,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
167, 2016-01 ,LAND ROVER,,Diesel,Multi-purpose Vehicle/Station-wagon,0,,
168, 2016-01 ,M.G.,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
169, 2016-01 ,MASERATI,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
170, 2016-01 ,MASERATI,,Diesel,Multi-purpose Vehicle/Station-wagon,0,,
171, 2016-01 ,MAZDA,,Petrol,Multi-purpose Vehicle/Station-wagon,106,,
172, 2016-01 ,MAZDA,,Diesel,Multi-purpose Vehicle/Station-wagon,0,,
173, 2016-01 ,Mclaren,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
174, 2016-01 ,MERCEDES BENZ,,Petrol,Multi-purpose Vehicle/Station-wagon,41,,
175, 2016-01 ,MERCEDES BENZ,,Diesel,Multi-purpose Vehicle/Station-wagon,1,,
176, 2016-01 ,MERCEDES BENZ,,Others,Multi-purpose Vehicle/Station-wagon,0,,
177, 2016-01 ,MINI,,Petrol,Multi-purpose Vehicle/Station-wagon,1,,
178, 2016-01 ,MINI,,Diesel,Multi-purpose Vehicle/Station-wagon,0,,
179, 2016-01 ,MITSUBISHI,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
180, 2016-01 ,MITSUBISHI,,Others,Multi-purpose Vehicle/Station-wagon,0,,
181, 2016-01 ,NISSAN,,Petrol,Multi-purpose Vehicle/Station-wagon,10,,
182, 2016-01 ,NISSAN,,Others,Multi-purpose Vehicle/Station-wagon,7,,
183, 2016-01 ,OPEL,,Petrol,Multi-purpose Vehicle/Station-wagon,3,,
184, 2016-01 ,PERODUA,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
185, 2016-01 ,PEUGEOT,,Petrol,Multi-purpose Vehicle/Station-wagon,5,,
186, 2016-01 ,PEUGEOT,,Diesel,Multi-purpose Vehicle/Station-wagon,6,,
187, 2016-01 ,PORSCHE,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
188, 2016-01 ,PORSCHE,,Diesel,Multi-purpose Vehicle/Station-wagon,0,,
189, 2016-01 ,RENAULT,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
190, 2016-01 ,RENAULT,,Diesel,Multi-purpose Vehicle/Station-wagon,6,,
191, 2016-01 ,ROLLS ROYCE,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
192, 2016-01 ,SSANGYONG,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
193, 2016-01 ,SSANGYONG,,Diesel,Multi-purpose Vehicle/Station-wagon,0,,
194, 2016-01 ,SUBARU,,Petrol,Multi-purpose Vehicle/Station-wagon,35,,
195, 2016-01 ,SUZUKI,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
196, 2016-01 ,TESLA,,Others,Multi-purpose Vehicle/Station-wagon,0,,
197, 2016-01 ,TOYOTA,,Petrol,Multi-purpose Vehicle/Station-wagon,421,,
198, 2016-01 ,TOYOTA,,Diesel,Multi-purpose Vehicle/Station-wagon,0,,
199, 2016-01 ,TOYOTA,,Others,Multi-purpose Vehicle/Station-wagon,13,,
200, 2016-01 ,TRIUMPH,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
201, 2016-01 ,VOLKSWAGEN,,Petrol,Multi-purpose Vehicle/Station-wagon,11,,
202, 2016-01 ,VOLKSWAGEN,,Diesel,Multi-purpose Vehicle/Station-wagon,0,,
203, 2016-01 ,VOLVO,,Petrol,Multi-purpose Vehicle/Station-wagon,5,,
204, 2016-01 ,VOLVO,,Diesel,Multi-purpose Vehicle/Station-wagon,0,,
205, 2016-01 ,ALFA ROMEO,,Petrol,Sports Utility Vehicle,0,,
206, 2016-01 ,ALPINA,,Petrol,Sports Utility Vehicle,0,,
207, 2016-01 ,ASTON MARTIN,,Petrol,Sports Utility Vehicle,0,,
208, 2016-01 ,AUDI,,Petrol,Sports Utility Vehicle,35,,
209, 2016-01 ,B.M.W.,,Petrol,Sports Utility Vehicle,30,,
210, 2016-01 ,B.M.W.,,Diesel,Sports Utility Vehicle,0,,
211, 2016-01 ,B.M.W.,,Others,Sports Utility Vehicle,0,,
212, 2016-01 ,BENTLEY,,Petrol,Sports Utility Vehicle,0,,
213, 2016-01 ,CHERY,,Petrol,Sports Utility Vehicle,3,,
214, 2016-01 ,CHEVROLET,,Petrol,Sports Utility Vehicle,0,,
215, 2016-01 ,CHRYSLER,,Diesel,Sports Utility Vehicle,0,,
216, 2016-01 ,CITROEN,,Petrol,Sports Utility Vehicle,6,,
217, 2016-01 ,CITROEN,,Diesel,Sports Utility Vehicle,0,,
218, 2016-01 ,DAIHATSU,,Petrol,Sports Utility Vehicle,0,,
219, 2016-01 ,FERRARI,,Petrol,Sports Utility Vehicle,0,,
220, 2016-01 ,FIAT,,Petrol,Sports Utility Vehicle,0,,
221, 2016-01 ,FORD,,Petrol,Sports Utility Vehicle,2,,
222, 2016-01 ,HONDA,,Petrol,Sports Utility Vehicle,890,,
223, 2016-01 ,HONDA,,Others,Sports Utility Vehicle,48,,
224, 2016-01 ,HYUNDAI,,Petrol,Sports Utility Vehicle,17,,
225, 2016-01 ,HYUNDAI,,Diesel,Sports Utility Vehicle,1,,
226, 2016-01 ,INFINITI,,Petrol,Sports Utility Vehicle,0,,
227, 2016-01 ,JAGUAR,,Petrol,Sports Utility Vehicle,0,,
228, 2016-01 ,JAGUAR,,Diesel,Sports Utility Vehicle,0,,
229, 2016-01 ,JEEP,,Petrol,Sports Utility Vehicle,0,,
230, 2016-01 ,KIA,,Petrol,Sports Utility Vehicle,7,,
231, 2016-01 ,KIA,,Diesel,Sports Utility Vehicle,11,,
232, 2016-01 ,KOENIGSEGG,,Petrol,Sports Utility Vehicle,0,,
233, 2016-01 ,LAMBORGHINI,,Petrol,Sports Utility Vehicle,0,,
234, 2016-01 ,LAND ROVER,,Petrol,Sports Utility Vehicle,27,,
235, 2016-01 ,LAND ROVER,,Diesel,Sports Utility Vehicle,5,,
236, 2016-01 ,M.G.,,Petrol,Sports Utility Vehicle,0,,
237, 2016-01 ,MASERATI,,Petrol,Sports Utility Vehicle,0,,
238, 2016-01 ,MASERATI,,Diesel,Sports Utility Vehicle,0,,
239, 2016-01 ,MAZDA,,Petrol,Sports Utility Vehicle,35,,
240, 2016-01 ,MAZDA,,Diesel,Sports Utility Vehicle,0,,
241, 2016-01 ,Mclaren,,Petrol,Sports Utility Vehicle,0,,
242, 2016-01 ,MERCEDES BENZ,,Petrol,Sports Utility Vehicle,130,,
243, 2016-01 ,MERCEDES BENZ,,Diesel,Sports Utility Vehicle,2,,
244, 2016-01 ,MERCEDES BENZ,,Others,Sports Utility Vehicle,0,,
245, 2016-01 ,MINI,,Petrol,Sports Utility Vehicle,0,,
246, 2016-01 ,MINI,,Diesel,Sports Utility Vehicle,0,,
247, 2016-01 ,MITSUBISHI,,Petrol,Sports Utility Vehicle,125,,
248, 2016-01 ,MITSUBISHI,,Others,Sports Utility Vehicle,0,,
249, 2016-01 ,NISSAN,,Petrol,Sports Utility Vehicle,316,,
250, 2016-01 ,NISSAN,,Others,Sports Utility Vehicle,0,,
251, 2016-01 ,OPEL,,Petrol,Sports Utility Vehicle,0,,
252, 2016-01 ,PERODUA,,Petrol,Sports Utility Vehicle,0,,
253, 2016-01 ,PEUGEOT,,Petrol,Sports Utility Vehicle,0,,
254, 2016-01 ,PEUGEOT,,Diesel,Sports Utility Vehicle,4,,
255, 2016-01 ,PORSCHE,,Petrol,Sports Utility Vehicle,35,,
256, 2016-01 ,PORSCHE,,Diesel,Sports Utility Vehicle,5,,
257, 2016-01 ,RENAULT,,Petrol,Sports Utility Vehicle,0,,
258, 2016-01 ,RENAULT,,Diesel,Sports Utility Vehicle,3,,
